# SR編成運用,"#468a1a",,,,,,,,
301,430M(3-4),1435M,,,,,,,
新在家,和6:09,橋7:50,,,,,,,
新在家,橋7:19,和9:03,,,,,,,
2,,,,,,,,,
302,221M,220M,223M,222M,,,,,
新在家,和6:16,市6:32,和6:46,市6:57,,,,,
和歌山8番,市6:22,和6:40,市6:53,和7:04,,,,,
2,,,,,,,,,
314,1422M(3-4),4431M(1-2),4431M,436M,2459M,?回送,.王寺電留線,461M,1464M
橋本3番,橋5:57,五6:47,粉7:35,和8:22,王10:41,高11:30,,王13:06,和15:55
五条,五6:11,粉7:35,和8:05,王10:31,高10:57,王11:45,,和15:34,五17:12
2,,,,,,,,,
# SD編成運用,"#b85c00",,,,,,,,
354,520S,520S,523T,,,,,,
王寺,王5:12,高5:30,奈6:23,,,,,,
高田,高5:30,奈6:16,高7:06,,,,,,
2,,,,,,,,,
